"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kayshon Boutte","NE","WR73","0.0","0.0","0.0","30.3","462.0","4.0","0.1","70.2"
"Travis Hunter","JAC","WR74","2.0","10.8","0.1","41.6","496.2","3.3","0.4","70.0"
"Chris Bell","MIA","WR75","0.0","0.0","0.0","44.3","581.5","2.1","0.5","69.6"
"Mike Gesicki","CIN","TE29","0.0","0.0","0.0","44.6","466.7","3.8","0.1","69.2"
"Bub Means","NO","WR76","1.0","7.0","0.0","38.0","517.0","3.0","1.0","68.4"
"Christian Kirk","SF","WR77","0.0","0.0","0.0","40.4","487.6","3.1","0.1","67.3"
"Kaelon Black","SF","RB58","98.1","387.6","3.2","8.6","79.4","0.6","1.1","67.1"
"Tyquan Thornton","KC","WR78","0.0","0.0","0.0","25.4","464.9","3.4","0.1","67.0"
"Ja'Kobi Lane","BAL","WR79","1.5","8.5","0.0","30.4","459.2","3.4","0.6","66.1"
"Caleb Douglas","MIA","WR80","1.0","5.5","0.0","39.6","506.8","2.5","0.7","65.0"
"Kimani Vidal","LAC","RB59","85.1","344.5","2.3","13.9","119.7","0.8","0.2","64.7"
"David Njoku","LAC","TE30","0.0","0.0","0.0","37.3","370.8","4.6","0.1","64.2"
"Tory Horton","SEA","WR81","0.5","3.0","0.0","29.8","400.4","4.2","0.6","64.0"
"Tank Bigsby","PHI","RB60","85.6","419.4","3.2","3.3","29.3","0.1","0.2","63.9"
"Darius Slayton","NYG","WR82","1.6","8.6","0.0","35.4","520.9","2.0","0.7","63.8"
"Troy Franklin","DEN","WR83","3.0","10.8","0.0","36.5","396.4","3.9","0.6","63.1"
"Mike Washington Jr.","LV","RB61","92.8","352.5","2.1","15.2","121.4","0.6","0.7","62.5"
"Malik Davis","DAL","RB62","81.8","382.7","2.8","8.7","67.3","0.2","0.1","62.4"
"Evan Engram","DEN","TE31","0.0","0.0","0.0","51.7","466.2","2.6","0.1","61.9"
"Colby Parkinson","LAR","TE32","0.0","0.0","0.0","34.5","366.1","4.3","0.6","61.4"
"Gunnar Helm","TEN","TE33","0.0","0.0","0.0","49.9","425.4","3.2","0.2","61.1"
"Malik Washington","MIA","WR84","13.3","79.3","0.7","42.1","371.2","2.2","0.8","61.1"
"Nick Westbrook-Ikhine","IND","WR85","0.0","0.0","0.0","34.3","432.7","3.0","0.3","60.9"
"De'Zhaun Stribling","SF","WR86","1.5","6.5","0.0","33.1","452.9","2.6","0.6","60.1"
"Isaac TeSlaa","DET","WR87","0.0","0.0","0.0","25.4","351.8","4.1","0.1","59.6"
"Devaughn Vele","NO","WR88","0.0","0.0","0.0","35.1","422.8","2.8","0.1","59.1"
"Hollywood Brown","PHI","WR89","0.0","0.0","0.0","31.3","388.8","3.3","0.1","58.2"
"Jack Bech","LV","WR90","0.0","0.0","0.0","41.4","483.0","1.8","0.4","58.1"
"Andrei Iosivas","CIN","WR91","2.5","11.1","0.0","31.1","393.6","2.9","0.1","57.8"
"Adam Randall","BAL","RB63","55.1","281.0","2.0","10.3","103.4","1.1","0.6","55.6"
"Ryan Flournoy","DAL","WR92","2.2","12.4","0.1","34.0","384.6","2.7","0.4","55.5"
"Emanuel Wilson","SEA","RB64","84.2","350.5","2.2","10.4","72.6","0.1","0.6","55.3"
"Dyami Brown","WAS","WR93","0.0","0.0","0.0","29.9","394.6","2.7","0.3","55.0"
"Tre' Harris","LAC","WR94","0.0","0.0","0.0","34.5","407.7","2.5","0.4","54.8"
"Ted Hurst III","TB","WR95","1.0","6.5","0.0","28.9","389.3","2.6","0.6","53.7"
"Theo Johnson","NYG","TE34","0.0","0.0","0.0","29.5","332.0","3.3","0.1","53.0"
"Adonai Mitchell","NYJ","WR96","2.2","11.1","0.1","26.5","381.5","2.3","0.3","53.0"
"MarShawn Lloyd","GB","RB65","67.2","286.1","2.1","12.1","85.2","0.6","0.3","52.4"
"Jahan Dotson","ATL","WR97","0.0","0.0","0.0","31.9","402.9","2.1","0.2","52.2"
"Ashton Dulin","IND","WR98","5.1","46.2","0.1","22.5","378.9","1.5","0.1","51.6"
"Chris Brooks","GB","RB66","72.7","323.2","1.3","15.4","107.6","0.3","0.6","51.5"
"Dawson Knox","BUF","TE35","0.0","0.0","0.0","30.0","328.5","2.9","0.1","50.0"
"Mason Taylor","NYJ","TE36","0.0","0.0","0.0","41.7","346.1","2.6","0.1","49.9"
"Olamide Zaccheaus","ATL","WR99","1.5","9.5","0.0","37.2","352.9","2.1","0.2","48.7"
"Tyler Higbee","LAR","TE37","0.0","0.0","0.0","27.6","326.7","2.6","0.0","48.4"
"Chimere Dike","TEN","WR100","10.6","34.1","0.3","25.1","240.2","3.3","0.6","47.5"
"Dontayvion Wicks","PHI","WR101","0.5","3.0","0.0","29.6","333.6","2.3","0.1","47.1"
"Van Jefferson","WAS","WR102","0.0","0.0","0.0","28.0","357.7","1.9","0.2","47.0"
"Keon Coleman","BUF","WR103","0.0","0.0","0.0","22.5","309.4","2.6","0.2","46.0"
"Xavier Hutchinson","HOU","WR104","2.1","14.2","0.0","26.4","320.6","2.1","0.1","45.9"
"KaVontae Turpin","DAL","WR105","17.7","102.4","0.4","18.3","230.4","1.7","0.4","45.4"
"Michael Mayer","LV","TE38","0.0","0.0","0.0","38.4","355.9","1.7","0.1","45.3"
"Savion Williams","GB","WR106","9.0","47.0","0.3","23.9","272.0","2.0","0.3","45.1"
"Darnell Washington","PIT","TE39","0.0","0.0","0.0","33.0","345.6","1.9","0.6","44.9"
"Jalen Tolbert","MIA","WR107","0.0","0.0","0.0","30.1","364.3","1.4","0.3","44.5"
"Elic Ayomanor","TEN","WR108","0.0","0.0","0.0","21.5","287.8","2.6","0.0","44.3"
"Xavier Legette","CAR","WR109","2.1","10.8","0.1","26.6","307.9","2.1","0.3","44.1"
"Pat Bryant","DEN","WR110","0.0","0.0","0.0","28.5","319.6","2.1","0.3","44.0"
"James Conner","ARI","RB67","42.5","155.0","1.5","18.0","131.5","1.0","0.0","43.7"
"Joshua Palmer","BUF","WR111","0.0","0.0","0.0","25.9","337.2","1.6","0.1","43.3"
"Keaton Mitchell","LAC","RB68","62.3","287.7","1.2","9.5","66.7","0.2","0.6","42.7"
"Marvin Mims Jr.","DEN","WR112","8.2","45.0","0.3","24.2","272.4","1.6","0.4","42.6"
"Emari Demercado","KC","RB69","50.5","299.5","1.0","8.5","65.0","0.5","1.5","42.5"
"Jaylen Wright","MIA","RB70","77.1","297.0","1.5","7.3","52.5","0.1","1.2","42.0"
"Jahdae Walker","CHI","WR113","0.5","3.5","0.0","18.7","243.8","2.8","0.0","41.6"
"Calvin Austin III","NYG","WR114","0.0","0.0","0.0","20.5","273.7","2.2","0.0","40.8"
"Brashard Smith","KC","RB71","41.5","159.1","1.0","18.7","130.9","1.0","0.1","40.5"
"Cedric Tillman","CLE","WR115","0.0","-0.5","0.0","21.5","269.4","2.3","0.0","40.4"
"Elijah Sarratt","BAL","WR116","0.0","0.0","0.0","19.5","294.5","1.8","0.2","39.7"
"Jawhar Jordan","HOU","RB72","51.3","218.5","1.1","11.0","87.0","0.5","0.5","39.3"
"Ja'Tavion Sanders","CAR","TE40","0.0","0.0","0.0","32.4","266.7","2.0","0.1","38.7"
"DeMario Douglas","NE","WR117","4.1","21.4","0.2","22.7","271.1","1.5","0.3","38.6"
"Jaylin Lane","WAS","WR118","0.0","0.0","0.0","22.8","281.0","1.8","0.2","38.4"
"Chris Brazzell II","CAR","WR119","0.0","0.0","0.0","22.5","287.7","1.7","0.2","38.3"
"Tommy Tremble","CAR","TE41","0.0","0.0","0.0","27.3","256.0","2.0","0.1","37.1"
"Kalif Raymond","CHI","WR120","4.6","27.2","0.2","26.7","264.8","1.3","0.3","37.1"
"Kendre Miller","NO","RB73","52.4","209.8","2.1","4.0","28.5","0.0","0.0","36.7"
"Noah Fant","NO","TE42","0.0","0.0","0.0","32.1","300.4","1.5","1.6","35.8"
"Demarcus Robinson","SF","WR121","0.5","2.5","0.0","17.7","252.4","1.7","0.0","35.4"
"Emmett Johnson","KC","RB74","50.0","208.4","1.6","5.2","41.0","0.2","0.2","35.4"
"Will Kacmarek","MIA","TE43","0.0","0.0","0.0","26.7","250.9","1.9","0.6","35.2"
"Josh Oliver","MIN","TE44","0.0","0.0","0.0","19.3","196.4","2.6","0.1","34.9"
"Jaylin Noel","HOU","WR122","4.2","22.2","0.1","21.6","239.3","1.4","0.3","34.6"
"Charlie Kolar","LAC","TE45","0.0","0.0","0.0","16.2","203.2","2.3","0.0","34.0"
"Cole Kmet","CHI","TE46","0.0","0.0","0.0","21.3","220.1","1.8","0.1","33.0"
"Tutu Atwell","MIA","WR123","2.1","11.1","0.1","20.7","292.1","0.4","0.2","32.9"
"Erick All Jr.","CIN","TE47","0.0","0.0","0.0","26.1","228.3","1.6","0.1","32.4"
"Zachariah Branch","ATL","WR124","0.0","0.0","0.0","21.0","251.6","1.3","0.2","32.4"
"Frank Gore Jr.","BUF","RB75","37.0","174.0","2.0","3.0","26.0","0.0","0.0","32.0"
"Daniel Bellinger","TEN","TE48","0.0","0.0","0.0","18.8","212.7","1.7","0.0","31.6"
"Austin Hooper","ATL","TE49","0.0","0.0","0.0","22.8","232.6","1.4","0.1","31.6"
"Kyle Juszczyk","SF","RB76","4.2","10.3","0.1","23.9","209.9","1.5","0.1","31.4"
"Brock Wright","DET","TE50","0.0","0.0","0.0","19.4","175.1","2.3","0.0","31.3"
"Roschon Johnson","CHI","RB77","34.0","116.0","3.0","3.0","17.0","0.0","0.0","31.3"
"Eli Stowers","PHI","TE51","0.0","0.0","0.0","22.7","231.8","1.5","0.6","31.1"
"Luke McCaffrey","WAS","WR125","0.0","0.0","0.0","12.0","189.0","2.0","0.0","30.9"
"Jaydon Blue","DAL","RB78","44.2","186.4","1.4","4.4","30.8","0.2","0.2","30.9"
"Phil Mafah","DAL","RB79","32.0","142.0","2.0","4.0","34.0","0.0","0.0","29.6"
"Treylon Burks","WAS","WR126","0.0","0.0","0.0","15.8","215.5","1.3","0.1","29.0"
"Jalen Royals","KC","WR127","0.0","0.0","0.0","17.0","198.0","1.5","0.2","28.7"
"Adam Trautman","DEN","TE52","0.0","0.0","0.0","19.4","194.5","1.5","0.0","28.3"
"Ray Davis","BUF","RB80","32.3","137.8","1.1","7.8","59.9","0.4","0.2","28.1"
"Luke Musgrave","GB","TE53","0.0","0.0","0.0","20.5","200.2","1.4","0.1","28.0"
"Ollie Gordon II","MIA","RB81","44.0","180.7","1.1","4.0","27.8","0.1","0.2","27.9"
"Eli Raridon","NE","TE54","0.0","0.0","0.0","18.8","195.8","1.5","0.6","27.7"
"Isaiah Davis","NYJ","RB82","26.3","134.9","0.9","9.9","78.1","0.2","0.0","27.7"
"Kendrick Bourne","ARI","WR128","0.0","0.0","0.0","22.7","239.7","0.7","0.2","27.5"
"Ben Sims","MIA","TE55","0.0","0.0","0.0","21.3","200.7","1.2","0.0","27.4"
"DJ Giddens","IND","RB83","33.6","141.5","1.0","8.6","56.7","0.3","0.2","27.3"
"Jake Tonges","SF","TE56","0.0","0.0","0.0","18.5","180.3","1.5","0.1","27.0"
"Noah Gray","KC","TE57","0.0","0.0","0.0","20.5","199.5","1.2","0.1","27.0"
"Elijah Arroyo","SEA","TE58","0.0","0.0","0.0","17.0","190.0","1.4","0.1","27.0"
